"               epoch"	"      train/box_loss"	"      train/obj_loss"	"      train/cls_loss"	"   metrics/precision"	"      metrics/recall"	"     metrics/mAP_0.5"	"metrics/mAP_0.5:0.95"	"        val/box_loss"	"        val/obj_loss"	"        val/cls_loss"	"               x/lr0"	"               x/lr1"	"               x/lr2"
"                  60"	"            0.025224"	"            0.020921"	"          0.00082109"	"             0.94961"	"             0.94087"	"             0.97446"	"             0.67971"	"            0.025167"	"            0.016802"	"            0.002133"	"           0.0092605"	"           0.0092605"	"           0.0092605"
"                  61"	"            0.024748"	"            0.020282"	"          0.00074298"	"             0.95942"	"             0.93902"	"             0.97458"	"             0.67954"	"            0.025234"	"            0.016637"	"           0.0020236"	"           0.0092361"	"           0.0092361"	"           0.0092361"
"                  62"	"             0.02481"	"            0.020276"	"          0.00078973"	"             0.96204"	"             0.92651"	"             0.97333"	"             0.67551"	"            0.025404"	"            0.016845"	"           0.0021475"	"           0.0092113"	"           0.0092113"	"           0.0092113"
"                  63"	"            0.025099"	"            0.020895"	"          0.00072447"	"             0.95241"	"             0.94002"	"              0.9751"	"             0.67683"	"            0.025108"	"            0.016673"	"           0.0020579"	"           0.0091861"	"           0.0091861"	"           0.0091861"
"                  64"	"            0.024941"	"            0.020637"	"           0.0007966"	"             0.96711"	"             0.93004"	"             0.97392"	"             0.68053"	"            0.025297"	"            0.016746"	"           0.0020661"	"           0.0091606"	"           0.0091606"	"           0.0091606"
"                  65"	"             0.02465"	"            0.019991"	"            0.000787"	"             0.94488"	"             0.94733"	"             0.97419"	"             0.67995"	"            0.025293"	"            0.016719"	"           0.0018068"	"           0.0091348"	"           0.0091348"	"           0.0091348"
"                  66"	"            0.024543"	"            0.020152"	"          0.00072447"	"              0.9478"	"               0.943"	"             0.97295"	"             0.67999"	"            0.025339"	"             0.01667"	"           0.0021657"	"           0.0091086"	"           0.0091086"	"           0.0091086"
"                  67"	"            0.024472"	"             0.01989"	"          0.00078496"	"             0.96185"	"             0.93644"	"             0.97521"	"             0.67568"	"            0.025483"	"            0.016883"	"           0.0019962"	"           0.0090821"	"           0.0090821"	"           0.0090821"
"                  68"	"            0.024647"	"            0.020401"	"          0.00069496"	"             0.94629"	"             0.94801"	"             0.97433"	"             0.68011"	"            0.025085"	"            0.016486"	"           0.0023457"	"           0.0090552"	"           0.0090552"	"           0.0090552"
"                  69"	"            0.024766"	"            0.020364"	"          0.00073531"	"             0.96016"	"             0.93109"	"               0.973"	"              0.6835"	"            0.025193"	"            0.016811"	"           0.0020456"	"            0.009028"	"            0.009028"	"            0.009028"
"                  70"	"            0.024369"	"            0.020059"	"          0.00069467"	"             0.95442"	"             0.93642"	"             0.97388"	"              0.6815"	"            0.025138"	"            0.016919"	"           0.0017356"	"           0.0090004"	"           0.0090004"	"           0.0090004"
"                  71"	"            0.024488"	"             0.02003"	"          0.00068773"	"             0.95017"	"             0.94344"	"             0.97446"	"             0.68537"	"            0.025067"	"            0.016642"	"           0.0019001"	"           0.0089726"	"           0.0089726"	"           0.0089726"
"                  72"	"            0.024379"	"            0.020228"	"          0.00076711"	"             0.94999"	"              0.9468"	"             0.97428"	"             0.68186"	"            0.025066"	"            0.016566"	"           0.0020026"	"           0.0089444"	"           0.0089444"	"           0.0089444"
"                  73"	"            0.024366"	"             0.02012"	"          0.00068587"	"             0.95057"	"             0.94248"	"             0.97418"	"             0.68258"	"            0.024984"	"            0.016727"	"           0.0019526"	"           0.0089159"	"           0.0089159"	"           0.0089159"
"                  74"	"             0.02445"	"            0.019923"	"           0.0007259"	"             0.95673"	"             0.94207"	"             0.97328"	"             0.68077"	"             0.02512"	"            0.016716"	"           0.0018942"	"            0.008887"	"            0.008887"	"            0.008887"
"                  75"	"            0.024564"	"            0.020323"	"          0.00081191"	"             0.95729"	"             0.93811"	"             0.97397"	"             0.68297"	"            0.024957"	"            0.016535"	"           0.0019288"	"           0.0088579"	"           0.0088579"	"           0.0088579"
"                  76"	"            0.024177"	"            0.019595"	"          0.00073069"	"             0.97031"	"             0.92352"	"             0.97345"	"             0.68342"	"            0.024978"	"            0.016608"	"           0.0020871"	"           0.0088284"	"           0.0088284"	"           0.0088284"
"                  77"	"            0.024227"	"            0.019914"	"          0.00069577"	"             0.95529"	"             0.93414"	"             0.97195"	"             0.68033"	"            0.025042"	"            0.016651"	"           0.0022085"	"           0.0087987"	"           0.0087987"	"           0.0087987"
"                  78"	"            0.024143"	"            0.020187"	"          0.00068177"	"              0.9578"	"             0.93399"	"              0.9744"	"             0.68245"	"             0.02493"	"             0.01657"	"           0.0019191"	"           0.0087686"	"           0.0087686"	"           0.0087686"
"                  79"	"            0.023909"	"            0.019702"	"          0.00074639"	"             0.95654"	"             0.93952"	"             0.97429"	"             0.68202"	"            0.025065"	"            0.016621"	"           0.0018727"	"           0.0087382"	"           0.0087382"	"           0.0087382"
"                  80"	"            0.024005"	"            0.019698"	"           0.0007128"	"             0.95315"	"             0.93615"	"             0.97245"	"             0.68035"	"            0.025215"	"            0.016665"	"           0.0020613"	"           0.0087075"	"           0.0087075"	"           0.0087075"
"                  81"	"            0.024012"	"            0.019976"	"          0.00068433"	"             0.95995"	"             0.93187"	"             0.97332"	"             0.68109"	"            0.025187"	"            0.016753"	"           0.0019418"	"           0.0086765"	"           0.0086765"	"           0.0086765"
"                  82"	"            0.024134"	"            0.019967"	"          0.00071733"	"              0.9491"	"             0.94395"	"              0.9736"	"             0.68287"	"            0.025087"	"            0.016726"	"           0.0019223"	"           0.0086452"	"           0.0086452"	"           0.0086452"
"                  83"	"            0.023965"	"            0.019761"	"          0.00070441"	"             0.95826"	"             0.93509"	"             0.97304"	"             0.68319"	"            0.024985"	"            0.016718"	"           0.0018518"	"           0.0086137"	"           0.0086137"	"           0.0086137"
"                  84"	"            0.023956"	"            0.019961"	"          0.00068704"	"             0.95465"	"             0.93942"	"             0.97381"	"             0.68232"	"            0.024874"	"            0.016654"	"           0.0017701"	"           0.0085818"	"           0.0085818"	"           0.0085818"
"                  85"	"            0.023803"	"            0.019599"	"          0.00065369"	"             0.94693"	"             0.94479"	"             0.97282"	"             0.68269"	"            0.024984"	"             0.01671"	"           0.0020129"	"           0.0085497"	"           0.0085497"	"           0.0085497"
"                  86"	"             0.02385"	"            0.019611"	"          0.00068222"	"             0.95017"	"             0.94112"	"              0.9731"	"              0.6838"	"            0.024935"	"             0.01656"	"            0.001869"	"           0.0085173"	"           0.0085173"	"           0.0085173"
"                  87"	"            0.023803"	"            0.019743"	"          0.00066072"	"             0.95342"	"             0.94589"	"             0.97405"	"             0.68318"	"             0.02498"	"            0.016562"	"           0.0017765"	"           0.0084846"	"           0.0084846"	"           0.0084846"
"                  88"	"            0.023563"	"            0.019341"	"          0.00064389"	"              0.9516"	"             0.94887"	"             0.97351"	"             0.68442"	"            0.024999"	"            0.016622"	"            0.001698"	"           0.0084516"	"           0.0084516"	"           0.0084516"
"                  89"	"            0.023672"	"            0.019658"	"            0.000721"	"             0.96344"	"              0.9418"	"               0.974"	"             0.68404"	"             0.02506"	"            0.016599"	"           0.0016701"	"           0.0084184"	"           0.0084184"	"           0.0084184"
"                  90"	"            0.023816"	"            0.019564"	"          0.00069491"	"             0.95932"	"             0.94263"	"             0.97417"	"             0.68226"	"            0.025128"	"            0.016544"	"           0.0017681"	"           0.0083849"	"           0.0083849"	"           0.0083849"
"                  91"	"            0.023607"	"            0.019445"	"          0.00066079"	"             0.96114"	"             0.93935"	"             0.97387"	"             0.68471"	"            0.025005"	"            0.016562"	"           0.0018764"	"           0.0083511"	"           0.0083511"	"           0.0083511"
"                  92"	"            0.023428"	"            0.019041"	"           0.0007127"	"             0.95428"	"             0.94361"	"             0.97317"	"             0.68206"	"             0.02509"	"             0.01678"	"           0.0018534"	"           0.0083171"	"           0.0083171"	"           0.0083171"
"                  93"	"            0.023349"	"            0.019254"	"           0.0006527"	"             0.95463"	"             0.94077"	"             0.97243"	"              0.6848"	"            0.024939"	"            0.016772"	"           0.0019048"	"           0.0082829"	"           0.0082829"	"           0.0082829"
"                  94"	"            0.023371"	"            0.019393"	"          0.00062769"	"             0.95142"	"             0.94657"	"             0.97322"	"              0.6818"	"            0.025047"	"            0.016789"	"           0.0019242"	"           0.0082483"	"           0.0082483"	"           0.0082483"
"                  95"	"            0.023405"	"            0.019321"	"          0.00065624"	"             0.95228"	"             0.94249"	"             0.97279"	"             0.68343"	"            0.024999"	"            0.016912"	"           0.0019785"	"           0.0082136"	"           0.0082136"	"           0.0082136"
"                  96"	"            0.023377"	"            0.019121"	"          0.00062545"	"             0.95653"	"             0.93935"	"             0.97306"	"             0.68371"	"            0.024978"	"            0.016731"	"             0.00194"	"           0.0081786"	"           0.0081786"	"           0.0081786"
"                  97"	"            0.023138"	"            0.019376"	"          0.00061395"	"              0.9611"	"             0.93476"	"             0.97198"	"             0.68363"	"            0.025017"	"            0.016795"	"           0.0018979"	"           0.0081433"	"           0.0081433"	"           0.0081433"
"                  98"	"            0.023103"	"            0.019159"	"          0.00057669"	"             0.96138"	"             0.93337"	"              0.9722"	"             0.68344"	"            0.024931"	"            0.016832"	"           0.0018121"	"           0.0081078"	"           0.0081078"	"           0.0081078"
"                  99"	"            0.022931"	"            0.019019"	"          0.00055781"	"             0.95588"	"             0.93705"	"             0.97194"	"             0.68192"	"            0.024954"	"            0.016793"	"           0.0020308"	"           0.0080721"	"           0.0080721"	"           0.0080721"
